Participant ID,Condition,Event ID,Question Timestamp (s),Answer Timestamp (s),Time Difference (s),Answer Accuracy,Confidence
03_RT,C_R,E4_../audio/C/Toad_PR.wav,118.01,120.67,2.66,Correct,5
03_RT,C_R,E5_../audio/C/Constr_P.wav,142.15,145.00,2.85,Incorrect,1
03_RT,C_R,E6_../audio/C/Cone_B.wav,167.48,171.07,3.59,Correct,3
03_RT,C_R,E7_../audio/C/ICE_C.wav,197.75,200.44,2.69,Correct,6
03_RT,C_R,E8_../audio/C/Tar_C.wav,222.94,225.80,2.86,Correct,4
03_RT,C_R,E9_../audio/C/Cone_C.wav,246.89,252.17,5.28,Incorrect,1
03_RT,C_R,E10_../audio/C/BendR_C.wav,273.84,277.19,3.35,Correct,6
03_RT,C_R,E11_../audio/C/Mark_P.wav,302.15,304.80,2.65,Correct,3
03_RT,C_R,E12_../audio/C/Cone_A.wav,327.68,330.57,2.89,Incorrect,2
03_RT,C_R,E13_../audio/C/Constr_C.wav,353.16,356.32,3.16,Correct,3
03_RT,C_R,E14_../audio/C/Toad_P.wav,382.02,386.21,4.19,Correct,6
03_RT,C_R,E15_../audio/C/Cone_B.wav,401.13,403.25,2.12,Correct,4
03_RT,C_R,E16_../audio/C/Tar_P.wav,426.07,430.25,4.18,Correct,5
03_RT,C_R,E17_../audio/C/ICE_P.wav,455.47,457.85,2.38,Correct,6
03_RT,C_R,E18_../audio/C/Cone_C.wav,477.64,480.59,2.95,Correct,2
03_RT,C_R,E19_../audio/C/Mark_PR.wav,501.36,503.29,1.93,Correct,5
03_RT,C_R,E20_../audio/C/BendR_PR.wav,540.36,545.37,5.01,Incorrect,1
03_RT,C_R,E21_../audio/C/Cone_C.wav,573.88,576.11,2.23,Correct,6
03_RT,C_R,E22_../audio/C/Toad_C.wav,595.25,597.29,2.04,Incorrect,1
03_RT,C_R,E23_../audio/C/Constr_PR.wav,629.50,637.23,7.73,Incorrect,6
